TEST-EINR
BioMate 3S v4.000I 2K6N070003

Kinetik                     0:55 13Aug13
Testbez.                          ------
Messmodus                     Absorption
Wellenlnge                      436.0nm
Ref.-Wellenlg.korrektur              Aus
Delay-Zeit (min:sec)                0:00
Intervallzeit (min:sek)             0:01
Gesamtlaufzeit(hr:min:sec)       0:05:00
Zeige Ergebnis                       Ein
Faktor                             1.000
Einheitn                               C
Linearittswert                    0.005
Probenposition            Einfachhalter-
ID# (0=AUS)                            1
Untere/Obere Grenze           -9999/9999
Auto Speichern                       Aus


HH:MM:SS   Abs    Delta   Lin
--------  ------  ------  ---
 0:00:00   0.100  ------  ---
 0:00:01   0.122   0.022  ---
 0:00:02   0.144   0.022   L 
 0:00:03   0.165   0.021   L 
 0:00:04   0.187   0.022   L 
 0:00:05   0.209   0.022   L 
 0:00:06   0.230   0.021   L 
 0:00:07   0.252   0.022   L 
 0:00:08   0.274   0.022   L 
 0:00:09   0.295   0.021   L 
 0:00:10   0.316   0.021   L 
 0:00:11   0.337   0.021   L 
 0:00:12   0.359   0.022   L 
 0:00:13   0.379   0.020   L 
 0:00:14   0.400   0.021   L 
 0:00:15   0.421   0.021   L 
 0:00:17   0.441   0.020   L 
 0:00:18   0.460   0.019   L 
 0:00:19   0.480   0.020   L 
 0:00:20   0.499   0.019   L 
 0:00:21   0.518   0.019   L 
 0:00:22   0.536   0.018   L 
 0:00:23   0.555   0.019   L 
 0:00:24   0.574   0.019   L 
 0:00:25   0.591   0.017   L 
 0:00:26   0.606   0.015   L 
 0:00:27   0.621   0.015   L 
 0:00:28   0.634   0.013   L 
 0:00:29   0.646   0.012   L 
 0:00:30   0.658   0.012   L 
 0:00:31   0.670   0.012   L 
 0:00:32   0.680   0.010   L 
 0:00:33   0.689   0.009   L 
 0:00:34   0.697   0.008   L 
 0:00:35   0.703   0.006   L 
 0:00:36   0.709   0.006   L 
 0:00:37   0.714   0.005   L 
 0:00:38   0.718   0.004   L 
 0:00:39   0.721   0.003   L 
 0:00:40   0.723   0.002   L 
 0:00:41   0.725   0.002   L 
 0:00:42   0.726   0.001   L 
 0:00:43   0.727   0.001   L 
 0:00:44   0.728   0.001   L 
 0:00:45   0.729   0.001   L 
 0:00:46   0.730   0.001   L 
 0:00:47   0.730   0.000   L 
 0:00:48   0.730   0.000   L 
 0:00:49   0.730   0.000   L 
 0:00:50   0.730   0.000   L 
 0:00:51   0.729  -0.001   L 
 0:00:52   0.729   0.000   L 
 0:00:53   0.729   0.000   L 
 0:00:54   0.729   0.000   L 
 0:00:55   0.729   0.000   L 
 0:00:56   0.729   0.000   L 
 0:00:57   0.729   0.000   L 
 0:00:58   0.729   0.000   L 
 0:00:59   0.729   0.000   L 
 0:01:00   0.729   0.000   L 

       ID#  Abs/Min    Ergebnis   C
         1   0.629      0.629     
