TEST-EINR
BioMate 3S v4.000I 2K6N070003

Kinetik                     1:30 13Aug13
Testbez.                          ------
Messmodus                     Absorption
Wellenlnge                      436.0nm
Ref.-Wellenlg.korrektur              Aus
Delay-Zeit (min:sec)                0:00
Intervallzeit (min:sek)             0:01
Gesamtlaufzeit(hr:min:sec)       0:05:00
Zeige Ergebnis                       Ein
Faktor                             1.000
Einheitn                               C
Linearittswert                    0.005
Probenposition            Einfachhalter-
ID# (0=AUS)                            1
Untere/Obere Grenze           -9999/9999
Auto Speichern                       Aus


HH:MM:SS   Abs    Delta   Lin
--------  ------  ------  ---
 0:00:00   0.073  ------  ---
 0:00:01   0.098   0.025  ---
 0:00:02   0.122   0.024   L 
 0:00:03   0.147   0.025   L 
 0:00:04   0.171   0.024   L 
 0:00:05   0.196   0.025   L 
 0:00:06   0.221   0.025   L 
 0:00:07   0.247   0.026   L 
 0:00:08   0.272   0.025   L 
 0:00:09   0.298   0.026   L 
 0:00:10   0.323   0.025   L 
 0:00:11   0.348   0.025   L 
 0:00:12   0.373   0.025   L 
 0:00:13   0.398   0.025   L 
 0:00:14   0.423   0.025   L 
 0:00:15   0.449   0.026   L 
 0:00:16   0.474   0.025   L 
 0:00:17   0.499   0.025   L 
 0:00:18   0.524   0.025   L 
 0:00:19   0.549   0.025   L 
 0:00:20   0.574   0.025   L 
 0:00:21   0.598   0.024   L 
 0:00:22   0.622   0.024   L 
 0:00:23   0.646   0.024   L 
 0:00:24   0.670   0.024   L 
 0:00:25   0.694   0.024   L 
 0:00:26   0.718   0.024   L 
 0:00:27   0.741   0.023   L 
 0:00:28   0.764   0.023   L 
 0:00:29   0.787   0.023   L 
 0:00:30   0.809   0.022   L 
 0:00:32   0.832   0.023   L 
 0:00:33   0.853   0.021   L 
 0:00:34   0.875   0.022   L 
 0:00:35   0.896   0.021   L 
 0:00:36   0.917   0.021   L 
 0:00:37   0.938   0.021   L 
 0:00:38   0.958   0.020   L 
 0:00:39   0.978   0.020   L 
 0:00:40   0.998   0.020   L 
 0:00:41   1.018   0.020   L 
 0:00:42   1.038   0.020   L 
 0:00:43   1.057   0.019   L 
 0:00:44   1.076   0.019   L 
 0:00:45   1.094   0.018   L 
 0:00:46   1.111   0.017   L 
 0:00:47   1.129   0.018   L 
 0:00:48   1.146   0.017   L 
 0:00:49   1.162   0.016   L 
 0:00:50   1.178   0.016   L 
 0:00:51   1.193   0.015   L 
 0:00:52   1.209   0.016   L 
 0:00:53   1.223   0.014   L 
 0:00:54   1.238   0.015   L 
 0:00:55   1.252   0.014   L 
 0:00:56   1.265   0.013   L 
 0:00:57   1.278   0.013   L 
 0:00:58   1.290   0.012   L 
 0:00:59   1.301   0.011   L 
 0:01:00   1.311   0.010   L 
 0:01:01   1.321   0.010   L 
 0:01:02   1.330   0.009   L 
 0:01:03   1.338   0.008   L 
 0:01:04   1.345   0.007   L 
 0:01:05   1.352   0.007   L 
 0:01:06   1.357   0.005   L 
 0:01:07   1.362   0.005   L 
 0:01:08   1.366   0.004   L 
 0:01:09   1.369   0.003   L 
 0:01:10   1.371   0.002   L 
 0:01:11   1.373   0.002   L 
 0:01:12   1.374   0.001   L 
 0:01:13   1.375   0.001   L 
 0:01:14   1.376   0.001   L 
 0:01:15   1.376   0.000   L 
 0:01:16   1.377   0.001   L 
 0:01:17   1.377   0.000   L 
 0:01:19   1.377   0.000   L 
 0:01:20   1.377   0.000   L 
 0:01:21   1.377   0.000   L 
 0:01:22   1.377   0.000   L 
 0:01:23   1.377   0.000   L 
 0:01:24   1.377   0.000   L 
 0:01:25   1.377   0.000   L 

       ID#  Abs/Min    Ergebnis   C
         1   0.920      0.920     
