TEST-EINR
BioMate 3S v4.000I 2K6N070003

Kinetik                     0:07 13Aug13
Testbez.                          ------
Messmodus                     Absorption
Wellenlnge                      436.0nm
Ref.-Wellenlg.korrektur              Aus
Delay-Zeit (min:sec)                0:00
Intervallzeit (min:sek)             0:01
Gesamtlaufzeit(hr:min:sec)       0:30:00
Zeige Ergebnis                       Ein
Faktor                             1.000
Einheitn                               C
Linearittswert                    0.005
Probenposition            Einfachhalter-
ID# (0=AUS)                            1
Untere/Obere Grenze           -9999/9999
Auto Speichern                       Aus


HH:MM:SS   Abs    Delta   Lin
--------  ------  ------  ---
 0:00:00   0.109  ------  ---
 0:00:01   0.122   0.013  ---
 0:00:02   0.133   0.011   L 
 0:00:03   0.143   0.010   L 
 0:00:04   0.154   0.011   L 
 0:00:05   0.152  -0.002   N 
 0:00:06   0.159   0.007   N 
 0:00:07   0.166   0.007   L 
 0:00:08   0.171   0.005   L 
 0:00:09   0.175   0.004   L 
 0:00:10   0.179   0.004   L 
 0:00:11   0.181   0.002   L 
 0:00:12   0.183   0.002   L 
 0:00:13   0.185   0.002   L 
 0:00:14   0.186   0.001   L 
 0:00:15   0.187   0.001   L 
 0:00:16   0.188   0.001   L 
 0:00:17   0.188   0.000   L 
 0:00:18   0.188   0.000   L 
 0:00:19   0.189   0.001   L 
 0:00:20   0.189   0.000   L 
 0:00:21   0.189   0.000   L 
 0:00:22   0.189   0.000   L 
 0:00:24   0.189   0.000   L 
 0:00:25   0.189   0.000   L 
 0:00:26   0.189   0.000   L 
 0:00:27   0.189   0.000   L 
 0:00:28   0.189   0.000   L 
 0:00:29   0.189   0.000   L 
 0:00:30   0.189   0.000   L 
 0:00:31   0.189   0.000   L 
 0:00:32   0.191   0.002   L 
 0:00:33   0.192   0.001   L 
 0:00:34   0.193   0.001   L 
 0:00:35   0.192  -0.001   L 
 0:00:36   0.191  -0.001   L 
 0:00:37   0.190  -0.001   L 
 0:00:38   0.189  -0.001   L 
 0:00:39   0.189   0.000   L 
 0:00:40   0.189   0.000   L 
 0:00:41   0.188  -0.001   L 
 0:00:42   0.188   0.000   L 
 0:00:43   0.188   0.000   L 
 0:00:44   0.188   0.000   L 
 0:00:45   0.188   0.000   L 
 0:00:46   0.188   0.000   L 
 0:00:47   0.188   0.000   L 
 0:00:48   0.188   0.000   L 
 0:00:49   0.188   0.000   L 
 0:00:50   0.188   0.000   L 

       ID#  Abs/Min    Ergebnis   C
         1   0.095      0.095     
