TEST-EINR
BioMate 3S v4.000I 2K6N070003

Kinetik                     1:01 13Aug13
Testbez.                          ------
Messmodus                     Absorption
Wellenlnge                      436.0nm
Ref.-Wellenlg.korrektur              Aus
Delay-Zeit (min:sec)                0:00
Intervallzeit (min:sek)             0:01
Gesamtlaufzeit(hr:min:sec)       0:05:00
Zeige Ergebnis                       Ein
Faktor                             1.000
Einheitn                               C
Linearittswert                    0.005
Probenposition            Einfachhalter-
ID# (0=AUS)                            1
Untere/Obere Grenze           -9999/9999
Auto Speichern                       Aus


HH:MM:SS   Abs    Delta   Lin
--------  ------  ------  ---
 0:00:00   0.112  ------  ---
 0:00:01   0.135   0.023  ---
 0:00:02   0.158   0.023   L 
 0:00:03   0.181   0.023   L 
 0:00:05   0.205   0.024   L 
 0:00:06   0.228   0.023   L 
 0:00:07   0.251   0.023   L 
 0:00:08   0.274   0.023   L 
 0:00:09   0.297   0.023   L 
 0:00:10   0.320   0.023   L 
 0:00:11   0.343   0.023   L 
 0:00:12   0.365   0.022   L 
 0:00:13   0.388   0.023   L 
 0:00:14   0.410   0.022   L 
 0:00:15   0.432   0.022   L 
 0:00:16   0.454   0.022   L 
 0:00:17   0.476   0.022   L 
 0:00:18   0.497   0.021   L 
 0:00:19   0.519   0.022   L 
 0:00:20   0.540   0.021   L 
 0:00:21   0.560   0.020   L 
 0:00:22   0.581   0.021   L 
 0:00:23   0.600   0.019   L 
 0:00:24   0.618   0.018   L 
 0:00:25   0.636   0.018   L 
 0:00:26   0.654   0.018   L 
 0:00:27   0.671   0.017   L 
 0:00:28   0.687   0.016   L 
 0:00:29   0.703   0.016   L 
 0:00:30   0.718   0.015   L 
 0:00:31   0.732   0.014   L 
 0:00:32   0.745   0.013   L 
 0:00:33   0.756   0.011   L 
 0:00:34   0.767   0.011   L 
 0:00:35   0.776   0.009   L 
 0:00:36   0.785   0.009   L 
 0:00:37   0.792   0.007   L 
 0:00:38   0.798   0.006   L 
 0:00:39   0.802   0.004   L 
 0:00:40   0.806   0.004   L 
 0:00:41   0.809   0.003   L 
 0:00:42   0.812   0.003   L 
 0:00:43   0.813   0.001   L 
 0:00:44   0.815   0.002   L 
 0:00:45   0.815   0.000   L 
 0:00:46   0.816   0.001   L 
 0:00:47   0.816   0.000   L 
 0:00:48   0.817   0.001   L 
 0:00:49   0.817   0.000   L 
 0:00:50   0.817   0.000   L 
 0:00:51   0.817   0.000   L 
 0:00:53   0.817   0.000   L 
 0:00:54   0.816  -0.001   L 
 0:00:55   0.816   0.000   L 
 0:00:56   0.816   0.000   L 

       ID#  Abs/Min    Ergebnis   C
         1   0.754      0.754     
