TEST-EINR
BioMate 3S v4.000I 2K6N070003

Kinetik                     1:28 13Aug13
Testbez.                          ------
Messmodus                     Absorption
Wellenlnge                      436.0nm
Ref.-Wellenlg.korrektur              Aus
Delay-Zeit (min:sec)                0:00
Intervallzeit (min:sek)             0:01
Gesamtlaufzeit(hr:min:sec)       0:05:00
Zeige Ergebnis                       Ein
Faktor                             1.000
Einheitn                               C
Linearittswert                    0.005
Probenposition            Einfachhalter-
ID# (0=AUS)                            1
Untere/Obere Grenze           -9999/9999
Auto Speichern                       Aus


HH:MM:SS   Abs    Delta   Lin
--------  ------  ------  ---
 0:00:00   0.087  ------  ---
 0:00:01   0.111   0.024  ---
 0:00:02   0.135   0.024   L 
 0:00:03   0.159   0.024   L 
 0:00:04   0.183   0.024   L 
 0:00:05   0.207   0.024   L 
 0:00:06   0.232   0.025   L 
 0:00:07   0.256   0.024   L 
 0:00:08   0.281   0.025   L 
 0:00:09   0.306   0.025   L 
 0:00:10   0.330   0.024   L 
 0:00:11   0.355   0.025   L 
 0:00:12   0.380   0.025   L 
 0:00:13   0.405   0.025   L 
 0:00:14   0.429   0.024   L 
 0:00:15   0.454   0.025   L 
 0:00:16   0.478   0.024   L 
 0:00:18   0.503   0.025   L 
 0:00:19   0.527   0.024   L 
 0:00:20   0.552   0.025   L 
 0:00:21   0.576   0.024   L 
 0:00:22   0.600   0.024   L 
 0:00:23   0.624   0.024   L 
 0:00:24   0.647   0.023   L 
 0:00:25   0.670   0.023   L 
 0:00:26   0.694   0.024   L 
 0:00:27   0.717   0.023   L 
 0:00:28   0.739   0.022   L 
 0:00:29   0.762   0.023   L 
 0:00:30   0.784   0.022   L 
 0:00:31   0.806   0.022   L 
 0:00:32   0.828   0.022   L 
 0:00:33   0.849   0.021   L 
 0:00:34   0.870   0.021   L 
 0:00:35   0.891   0.021   L 
 0:00:36   0.912   0.021   L 
 0:00:37   0.932   0.020   L 
 0:00:38   0.952   0.020   L 
 0:00:39   0.971   0.019   L 
 0:00:40   0.991   0.020   L 
 0:00:41   1.010   0.019   L 
 0:00:42   1.029   0.019   L 
 0:00:43   1.047   0.018   L 
 0:00:44   1.065   0.018   L 
 0:00:45   1.083   0.018   L 
 0:00:46   1.100   0.017   L 
 0:00:47   1.118   0.018   L 
 0:00:48   1.134   0.016   L 
 0:00:49   1.151   0.017   L 
 0:00:50   1.167   0.016   L 
 0:00:51   1.182   0.015   L 
 0:00:52   1.198   0.016   L 
 0:00:53   1.212   0.014   L 
 0:00:54   1.227   0.015   L 
 0:00:55   1.241   0.014   L 
 0:00:56   1.254   0.013   L 
 0:00:57   1.267   0.013   L 
 0:00:58   1.280   0.013   L 
 0:00:59   1.292   0.012   L 
 0:01:00   1.303   0.011   L 
 0:01:01   1.314   0.011   L 
 0:01:02   1.324   0.010   L 
 0:01:03   1.333   0.009   L 
 0:01:05   1.342   0.009   L 
 0:01:06   1.350   0.008   L 
 0:01:07   1.357   0.007   L 
 0:01:08   1.363   0.006   L 
 0:01:09   1.369   0.006   L 
 0:01:10   1.374   0.005   L 
 0:01:11   1.378   0.004   L 
 0:01:12   1.382   0.004   L 
 0:01:13   1.385   0.003   L 
 0:01:14   1.387   0.002   L 
 0:01:15   1.389   0.002   L 
 0:01:16   1.390   0.001   L 
 0:01:17   1.392   0.002   L 
 0:01:18   1.392   0.000   L 
 0:01:19   1.393   0.001   L 
 0:01:20   1.393   0.000   L 
 0:01:21   1.393   0.000   L 
 0:01:22   1.394   0.001   L 
 0:01:23   1.393  -0.001   L 
 0:01:24   1.393   0.000   L 
 0:01:25   1.393   0.000   L 

       ID#  Abs/Min    Ergebnis   C
         1   0.922      0.922     
