TEST-EINR
BioMate 3S v4.000I 2K6N070003

Kinetik                    23:01 12Aug13
Testbez.                          ------
Messmodus                     Absorption
Wellenlnge                      436.0nm
Ref.-Wellenlg.korrektur              Aus
Delay-Zeit (min:sec)                0:00
Intervallzeit (min:sek)             0:01
Gesamtlaufzeit(hr:min:sec)       0:05:00
Zeige Ergebnis                       Ein
Faktor                             1.000
Einheitn                               C
Linearittswert                    0.005
Probenposition            Einfachhalter-
ID# (0=AUS)                            1
Untere/Obere Grenze           -9999/9999
Auto Speichern                       Aus


HH:MM:SS   Abs    Delta   Lin
--------  ------  ------  ---
 0:00:00   0.064  ------  ---
 0:00:01   0.073   0.009  ---
 0:00:02   0.082   0.009   L 
 0:00:03   0.089   0.007   L 
 0:00:04   0.095   0.006   L 
 0:00:05   0.100   0.005   L 
 0:00:06   0.104   0.004   L 
 0:00:07   0.108   0.004   L 
 0:00:08   0.110   0.002   L 
 0:00:09   0.112   0.002   L 
 0:00:10   0.113   0.001   L 
 0:00:11   0.114   0.001   L 
 0:00:12   0.115   0.001   L 
 0:00:13   0.115   0.000   L 
 0:00:14   0.115   0.000   L 
 0:00:15   0.115   0.000   L 
 0:00:16   0.114  -0.001   L 
 0:00:17   0.114   0.000   L 
 0:00:18   0.113  -0.001   L 
 0:00:19   0.113   0.000   L 
 0:00:20   0.113   0.000   L 
 0:00:21   0.113   0.000   L 
 0:00:22   0.113   0.000   L 
 0:00:23   0.113   0.000   L 
 0:00:24   0.113   0.000   L 
 0:00:25   0.113   0.000   L 
 0:00:26   0.113   0.000   L 
 0:00:27   0.113   0.000   L 
 0:00:28   0.113   0.000   L 
 0:00:29   0.113   0.000   L 
 0:00:30   0.113   0.000   L 
 0:00:31   0.113   0.000   L 
 0:00:32   0.113   0.000   L 
 0:00:33   0.113   0.000   L 
 0:00:34   0.113   0.000   L 
 0:00:35   0.112  -0.001   L 
 0:00:36   0.112   0.000   L 
 0:00:37   0.112   0.000   L 
 0:00:38   0.112   0.000   L 
 0:00:40   0.112   0.000   L 
 0:00:41   0.112   0.000   L 
 0:00:42   0.112   0.000   L 
 0:00:43   0.112   0.000   L 
 0:00:44   0.112   0.000   L 
 0:00:45   0.112   0.000   L 
 0:00:46   0.112   0.000   L 
 0:00:47   0.112   0.000   L 
 0:00:48   0.112   0.000   L 
 0:00:49   0.112   0.000   L 
 0:00:50   0.112   0.000   L 
 0:00:51   0.112   0.000   L 
 0:00:52   0.112   0.000   L 
 0:00:53   0.112   0.000   L 
 0:00:54   0.111  -0.001   L 
 0:00:55   0.111   0.000   L 
 0:00:56   0.111   0.000   L 
 0:00:57   0.111   0.000   L 
 0:00:58   0.111   0.000   L 
 0:00:59   0.111   0.000   L 
 0:01:00   0.111   0.000   L 

       ID#  Abs/Min    Ergebnis   C
         1   0.047      0.047     
