TEST-EINR
BioMate 3S v4.000I 2K6N070003

Kinetik                     1:18 13Aug13
Testbez.                          ------
Messmodus                     Absorption
Wellenlnge                      436.0nm
Ref.-Wellenlg.korrektur              Aus
Delay-Zeit (min:sec)                0:00
Intervallzeit (min:sek)             0:01
Gesamtlaufzeit(hr:min:sec)       0:05:00
Zeige Ergebnis                       Ein
Faktor                             1.000
Einheitn                               C
Linearittswert                    0.005
Probenposition            Einfachhalter-
ID# (0=AUS)                            1
Untere/Obere Grenze           -9999/9999
Auto Speichern                       Aus


HH:MM:SS   Abs    Delta   Lin
--------  ------  ------  ---
 0:00:00   0.097  ------  ---
 0:00:01   0.121   0.024  ---
 0:00:02   0.145   0.024   L 
 0:00:03   0.169   0.024   L 
 0:00:04   0.193   0.024   L 
 0:00:05   0.217   0.024   L 
 0:00:06   0.241   0.024   L 
 0:00:07   0.265   0.024   L 
 0:00:08   0.289   0.024   L 
 0:00:09   0.313   0.024   L 
 0:00:10   0.338   0.025   L 
 0:00:11   0.362   0.024   L 
 0:00:12   0.386   0.024   L 
 0:00:13   0.410   0.024   L 
 0:00:14   0.434   0.024   L 
 0:00:15   0.458   0.024   L 
 0:00:16   0.482   0.024   L 
 0:00:17   0.505   0.023   L 
 0:00:18   0.529   0.024   L 
 0:00:19   0.552   0.023   L 
 0:00:20   0.575   0.023   L 
 0:00:21   0.598   0.023   L 
 0:00:22   0.620   0.022   L 
 0:00:23   0.643   0.023   L 
 0:00:24   0.665   0.022   L 
 0:00:26   0.687   0.022   L 
 0:00:27   0.709   0.022   L 
 0:00:28   0.730   0.021   L 
 0:00:29   0.751   0.021   L 
 0:00:30   0.772   0.021   L 
 0:00:31   0.792   0.020   L 
 0:00:32   0.812   0.020   L 
 0:00:33   0.832   0.020   L 
 0:00:34   0.852   0.020   L 
 0:00:35   0.871   0.019   L 
 0:00:36   0.889   0.018   L 
 0:00:37   0.908   0.019   L 
 0:00:38   0.926   0.018   L 
 0:00:39   0.943   0.017   L 
 0:00:40   0.960   0.017   L 
 0:00:41   0.977   0.017   L 
 0:00:42   0.993   0.016   L 
 0:00:43   1.009   0.016   L 
 0:00:44   1.024   0.015   L 
 0:00:45   1.038   0.014   L 
 0:00:46   1.052   0.014   L 
 0:00:47   1.065   0.013   L 
 0:00:48   1.077   0.012   L 
 0:00:49   1.088   0.011   L 
 0:00:50   1.099   0.011   L 
 0:00:51   1.109   0.010   L 
 0:00:52   1.117   0.008   L 
 0:00:53   1.125   0.008   L 
 0:00:54   1.132   0.007   L 
 0:00:55   1.137   0.005   L 
 0:00:56   1.142   0.005   L 
 0:00:57   1.146   0.004   L 
 0:00:58   1.149   0.003   L 
 0:00:59   1.151   0.002   L 
 0:01:00   1.153   0.002   L 
 0:01:01   1.155   0.002   L 
 0:01:02   1.156   0.001   L 
 0:01:03   1.156   0.000   L 
 0:01:04   1.157   0.001   L 
 0:01:05   1.157   0.000   L 
 0:01:06   1.157   0.000   L 
 0:01:07   1.157   0.000   L 
 0:01:08   1.157   0.000   L 
 0:01:09   1.157   0.000   L 
 0:01:10   1.157   0.000   L 
 0:01:11   1.157   0.000   L 
 0:01:13   1.157   0.000   L 
 0:01:14   1.157   0.000   L 
 0:01:15   1.157   0.000   L 

       ID#  Abs/Min    Ergebnis   C
         1   0.848      0.848     
