TEST-EINR
BioMate 3S v4.000I 2K6N070003

Kinetik                     1:13 13Aug13
Testbez.                          ------
Messmodus                     Absorption
Wellenlnge                      436.0nm
Ref.-Wellenlg.korrektur              Aus
Delay-Zeit (min:sec)                0:00
Intervallzeit (min:sek)             0:01
Gesamtlaufzeit(hr:min:sec)       0:05:00
Zeige Ergebnis                       Ein
Faktor                             1.000
Einheitn                               C
Linearittswert                    0.005
Probenposition            Einfachhalter-
ID# (0=AUS)                            1
Untere/Obere Grenze           -9999/9999
Auto Speichern                       Aus


HH:MM:SS   Abs    Delta   Lin
--------  ------  ------  ---
 0:00:00   0.114  ------  ---
 0:00:01   0.136   0.022  ---
 0:00:02   0.159   0.023   L 
 0:00:03   0.182   0.023   L 
 0:00:04   0.205   0.023   L 
 0:00:05   0.227   0.022   L 
 0:00:06   0.250   0.023   L 
 0:00:07   0.273   0.023   L 
 0:00:08   0.296   0.023   L 
 0:00:09   0.319   0.023   L 
 0:00:11   0.342   0.023   L 
 0:00:12   0.365   0.023   L 
 0:00:13   0.388   0.023   L 
 0:00:14   0.410   0.022   L 
 0:00:15   0.433   0.023   L 
 0:00:16   0.455   0.022   L 
 0:00:17   0.477   0.022   L 
 0:00:18   0.500   0.023   L 
 0:00:19   0.521   0.021   L 
 0:00:20   0.543   0.022   L 
 0:00:21   0.564   0.021   L 
 0:00:22   0.586   0.022   L 
 0:00:23   0.606   0.020   L 
 0:00:24   0.627   0.021   L 
 0:00:25   0.647   0.020   L 
 0:00:26   0.666   0.019   L 
 0:00:27   0.685   0.019   L 
 0:00:28   0.704   0.019   L 
 0:00:29   0.722   0.018   L 
 0:00:30   0.740   0.018   L 
 0:00:31   0.758   0.018   L 
 0:00:32   0.774   0.016   L 
 0:00:33   0.791   0.017   L 
 0:00:34   0.806   0.015   L 
 0:00:35   0.821   0.015   L 
 0:00:36   0.835   0.014   L 
 0:00:37   0.848   0.013   L 
 0:00:38   0.860   0.012   L 
 0:00:39   0.871   0.011   L 
 0:00:40   0.881   0.010   L 
 0:00:41   0.890   0.009   L 
 0:00:42   0.899   0.009   L 
 0:00:43   0.906   0.007   L 
 0:00:44   0.912   0.006   L 
 0:00:45   0.917   0.005   L 
 0:00:46   0.922   0.005   L 
 0:00:47   0.925   0.003   L 
 0:00:48   0.928   0.003   L 
 0:00:49   0.930   0.002   L 
 0:00:50   0.932   0.002   L 
 0:00:51   0.933   0.001   L 
 0:00:52   0.934   0.001   L 
 0:00:53   0.935   0.001   L 
 0:00:54   0.935   0.000   L 
 0:00:55   0.935   0.000   L 
 0:00:56   0.935   0.000   L 
 0:00:57   0.935   0.000   L 
 0:00:59   0.935   0.000   L 
 0:01:00   0.935   0.000   L 
 0:01:01   0.935   0.000   L 
 0:01:02   0.935   0.000   L 
 0:01:03   0.935   0.000   L 
 0:01:04   0.935   0.000   L 
 0:01:05   0.935   0.000   L 

       ID#  Abs/Min    Ergebnis   C
         1   0.758      0.758     
