TEST-EINR
BioMate 3S v4.000I 2K6N070003

Kinetik                     1:16 13Aug13
Testbez.                          ------
Messmodus                     Absorption
Wellenlnge                      436.0nm
Ref.-Wellenlg.korrektur              Aus
Delay-Zeit (min:sec)                0:00
Intervallzeit (min:sek)             0:01
Gesamtlaufzeit(hr:min:sec)       0:05:00
Zeige Ergebnis                       Ein
Faktor                             1.000
Einheitn                               C
Linearittswert                    0.005
Probenposition            Einfachhalter-
ID# (0=AUS)                            1
Untere/Obere Grenze           -9999/9999
Auto Speichern                       Aus


HH:MM:SS   Abs    Delta   Lin
--------  ------  ------  ---
 0:00:00   0.112  ------  ---
 0:00:01   0.134   0.022  ---
 0:00:02   0.158   0.024   L 
 0:00:03   0.181   0.023   L 
 0:00:04   0.205   0.024   L 
 0:00:05   0.228   0.023   L 
 0:00:06   0.252   0.024   L 
 0:00:07   0.276   0.024   L 
 0:00:08   0.300   0.024   L 
 0:00:09   0.324   0.024   L 
 0:00:10   0.347   0.023   L 
 0:00:11   0.371   0.024   L 
 0:00:12   0.394   0.023   L 
 0:00:13   0.418   0.024   L 
 0:00:14   0.441   0.023   L 
 0:00:15   0.464   0.023   L 
 0:00:16   0.487   0.023   L 
 0:00:17   0.510   0.023   L 
 0:00:18   0.532   0.022   L 
 0:00:19   0.555   0.023   L 
 0:00:20   0.577   0.022   L 
 0:00:21   0.599   0.022   L 
 0:00:22   0.621   0.022   L 
 0:00:23   0.642   0.021   L 
 0:00:24   0.663   0.021   L 
 0:00:25   0.683   0.020   L 
 0:00:26   0.703   0.020   L 
 0:00:27   0.723   0.020   L 
 0:00:28   0.741   0.018   L 
 0:00:29   0.760   0.019   L 
 0:00:30   0.777   0.017   L 
 0:00:31   0.795   0.018   L 
 0:00:32   0.811   0.016   L 
 0:00:33   0.827   0.016   L 
 0:00:35   0.843   0.016   L 
 0:00:36   0.857   0.014   L 
 0:00:37   0.871   0.014   L 
 0:00:38   0.883   0.012   L 
 0:00:39   0.895   0.012   L 
 0:00:40   0.905   0.010   L 
 0:00:41   0.914   0.009   L 
 0:00:42   0.922   0.008   L 
 0:00:43   0.929   0.007   L 
 0:00:44   0.935   0.006   L 
 0:00:45   0.940   0.005   L 
 0:00:46   0.944   0.004   L 
 0:00:47   0.947   0.003   L 
 0:00:48   0.949   0.002   L 
 0:00:49   0.951   0.002   L 
 0:00:50   0.952   0.001   L 
 0:00:51   0.953   0.001   L 
 0:00:52   0.954   0.001   L 
 0:00:53   0.955   0.001   L 
 0:00:54   0.955   0.000   L 
 0:00:55   0.955   0.000   L 
 0:00:56   0.955   0.000   L 
 0:00:57   0.955   0.000   L 
 0:00:58   0.955   0.000   L 
 0:00:59   0.955   0.000   L 
 0:01:00   0.955   0.000   L 
 0:01:01   0.955   0.000   L 
 0:01:02   0.955   0.000   L 
 0:01:03   0.955   0.000   L 

       ID#  Abs/Min    Ergebnis   C
         1   0.803      0.803     
