TEST-EINR
BioMate 3S v4.000I 2K6N070003

Kinetik                     1:21 13Aug13
Testbez.                          ------
Messmodus                     Absorption
Wellenlnge                      436.0nm
Ref.-Wellenlg.korrektur              Aus
Delay-Zeit (min:sec)                0:00
Intervallzeit (min:sek)             0:01
Gesamtlaufzeit(hr:min:sec)       0:05:00
Zeige Ergebnis                       Ein
Faktor                             1.000
Einheitn                               C
Linearittswert                    0.005
Probenposition            Einfachhalter-
ID# (0=AUS)                            1
Untere/Obere Grenze           -9999/9999
Auto Speichern                       Aus


HH:MM:SS   Abs    Delta   Lin
--------  ------  ------  ---
 0:00:00   0.083  ------  ---
 0:00:01   0.106   0.023  ---
 0:00:02   0.129   0.023   L 
 0:00:03   0.151   0.022   L 
 0:00:04   0.174   0.023   L 
 0:00:05   0.197   0.023   L 
 0:00:06   0.221   0.024   L 
 0:00:07   0.244   0.023   L 
 0:00:08   0.267   0.023   L 
 0:00:09   0.291   0.024   L 
 0:00:10   0.314   0.023   L 
 0:00:11   0.337   0.023   L 
 0:00:12   0.361   0.024   L 
 0:00:13   0.384   0.023   L 
 0:00:14   0.407   0.023   L 
 0:00:15   0.430   0.023   L 
 0:00:16   0.453   0.023   L 
 0:00:17   0.476   0.023   L 
 0:00:18   0.499   0.023   L 
 0:00:19   0.522   0.023   L 
 0:00:20   0.545   0.023   L 
 0:00:21   0.567   0.022   L 
 0:00:22   0.589   0.022   L 
 0:00:23   0.611   0.022   L 
 0:00:24   0.633   0.022   L 
 0:00:25   0.654   0.021   L 
 0:00:26   0.675   0.021   L 
 0:00:27   0.696   0.021   L 
 0:00:29   0.717   0.021   L 
 0:00:30   0.737   0.020   L 
 0:00:31   0.758   0.021   L 
 0:00:32   0.778   0.020   L 
 0:00:33   0.797   0.019   L 
 0:00:34   0.817   0.020   L 
 0:00:35   0.836   0.019   L 
 0:00:36   0.854   0.018   L 
 0:00:37   0.873   0.019   L 
 0:00:38   0.891   0.018   L 
 0:00:39   0.908   0.017   L 
 0:00:40   0.926   0.018   L 
 0:00:41   0.943   0.017   L 
 0:00:42   0.959   0.016   L 
 0:00:43   0.976   0.017   L 
 0:00:44   0.991   0.015   L 
 0:00:45   1.007   0.016   L 
 0:00:46   1.022   0.015   L 
 0:00:47   1.036   0.014   L 
 0:00:48   1.050   0.014   L 
 0:00:49   1.063   0.013   L 
 0:00:50   1.076   0.013   L 
 0:00:51   1.088   0.012   L 
 0:00:52   1.099   0.011   L 
 0:00:53   1.110   0.011   L 
 0:00:54   1.120   0.010   L 
 0:00:55   1.129   0.009   L 
 0:00:56   1.137   0.008   L 
 0:00:57   1.144   0.007   L 
 0:00:58   1.151   0.007   L 
 0:00:59   1.157   0.006   L 
 0:01:00   1.162   0.005   L 
 0:01:01   1.166   0.004   L 
 0:01:02   1.170   0.004   L 
 0:01:03   1.172   0.002   L 
 0:01:04   1.174   0.002   L 
 0:01:05   1.175   0.001   L 
 0:01:06   1.176   0.001   L 
 0:01:07   1.177   0.001   L 
 0:01:08   1.177   0.000   L 
 0:01:09   1.177   0.000   L 
 0:01:10   1.177   0.000   L 
 0:01:11   1.177   0.000   L 
 0:01:12   1.177   0.000   L 
 0:01:13   1.176  -0.001   L 
 0:01:14   1.176   0.000   L 
 0:01:16   1.175  -0.001   L 

       ID#  Abs/Min    Ergebnis   C
         1   0.862      0.862     
