TEST-EINR
BioMate 3S v4.000I 2K6N070003

Kinetik                     0:04 13Aug13
Testbez.                          ------
Messmodus                     Absorption
Wellenlnge                      436.0nm
Ref.-Wellenlg.korrektur              Aus
Delay-Zeit (min:sec)                0:00
Intervallzeit (min:sek)             0:01
Gesamtlaufzeit(hr:min:sec)       0:30:00
Zeige Ergebnis                       Ein
Faktor                             1.000
Einheitn                               C
Linearittswert                    0.005
Probenposition            Einfachhalter-
ID# (0=AUS)                            1
Untere/Obere Grenze           -9999/9999
Auto Speichern                       Aus


HH:MM:SS   Abs    Delta   Lin
--------  ------  ------  ---
 0:00:00   0.083  ------  ---
 0:00:01   0.099   0.016  ---
 0:00:02   0.114   0.015   L 
 0:00:03   0.129   0.015   L 
 0:00:04   0.143   0.014   L 
 0:00:05   0.156   0.013   L 
 0:00:06   0.168   0.012   L 
 0:00:07   0.179   0.011   L 
 0:00:08   0.190   0.011   L 
 0:00:09   0.199   0.009   L 
 0:00:10   0.207   0.008   L 
 0:00:11   0.214   0.007   L 
 0:00:12   0.220   0.006   L 
 0:00:13   0.225   0.005   L 
 0:00:14   0.229   0.004   L 
 0:00:15   0.232   0.003   L 
 0:00:16   0.235   0.003   L 
 0:00:18   0.237   0.002   L 
 0:00:19   0.238   0.001   L 
 0:00:20   0.239   0.001   L 
 0:00:21   0.240   0.001   L 
 0:00:22   0.241   0.001   L 
 0:00:23   0.241   0.000   L 
 0:00:24   0.241   0.000   L 
 0:00:25   0.242   0.001   L 
 0:00:26   0.242   0.000   L 
 0:00:27   0.242   0.000   L 
 0:00:28   0.242   0.000   L 
 0:00:29   0.242   0.000   L 
 0:00:30   0.242   0.000   L 
 0:00:31   0.241  -0.001   L 
 0:00:32   0.241   0.000   L 
 0:00:33   0.241   0.000   L 
 0:00:34   0.241   0.000   L 
 0:00:35   0.241   0.000   L 
 0:00:36   0.241   0.000   L 
 0:00:37   0.241   0.000   L 
 0:00:38   0.241   0.000   L 
 0:00:39   0.241   0.000   L 
 0:00:40   0.241   0.000   L 
 0:00:41   0.241   0.000   L 
 0:00:42   0.241   0.000   L 
 0:00:43   0.241   0.000   L 
 0:00:44   0.241   0.000   L 
 0:00:45   0.241   0.000   L 
 0:00:46   0.241   0.000   L 
 0:00:47   0.241   0.000   L 
 0:00:48   0.241   0.000   L 
 0:00:49   0.240  -0.001   L 
 0:00:50   0.240   0.000   L 
 0:00:51   0.240   0.000   L 
 0:00:52   0.240   0.000   L 
 0:00:53   0.240   0.000   L 
 0:00:54   0.240   0.000   L 
 0:00:55   0.240   0.000   L 
 0:00:56   0.240   0.000   L 
 0:00:57   0.240   0.000   L 
 0:00:58   0.240   0.000   L 
 0:00:59   0.240   0.000   L 
 0:01:00   0.240   0.000   L 
 0:01:01   0.239  -0.001   L 
 0:01:02   0.239   0.000   L 
 0:01:03   0.239   0.000   L 
 0:01:05   0.239   0.000   L 
 0:01:06   0.239   0.000   L 
 0:01:07   0.239   0.000   L 
 0:01:08   0.239   0.000   L 
 0:01:09   0.239   0.000   L 
 0:01:10   0.239   0.000   L 

       ID#  Abs/Min    Ergebnis   C
         1   0.134      0.134     
