TEST-EINR
BioMate 3S v4.000I 2K6N070003

Kinetik                    22:58 12Aug13
Testbez.                          ------
Messmodus                     Absorption
Wellenlnge                      436.0nm
Ref.-Wellenlg.korrektur              Aus
Delay-Zeit (min:sec)                0:00
Intervallzeit (min:sek)             0:01
Gesamtlaufzeit(hr:min:sec)       0:05:00
Zeige Ergebnis                       Ein
Faktor                             1.000
Einheitn                               C
Linearittswert                    0.005
Probenposition            Einfachhalter-
ID# (0=AUS)                            1
Untere/Obere Grenze           -9999/9999
Auto Speichern                       Aus


HH:MM:SS   Abs    Delta   Lin
--------  ------  ------  ---
 0:00:00   0.054  ------  ---
 0:00:01   0.054   0.000  ---
 0:00:02   0.055   0.001   L 
 0:00:03   0.055   0.000   L 
 0:00:04   0.055   0.000   L 
 0:00:05   0.055   0.000   L 
 0:00:06   0.055   0.000   L 
 0:00:07   0.056   0.001   L 
 0:00:08   0.056   0.000   L 
 0:00:09   0.056   0.000   L 
 0:00:10   0.056   0.000   L 
 0:00:11   0.056   0.000   L 
 0:00:12   0.056   0.000   L 
 0:00:13   0.056   0.000   L 
 0:00:14   0.056   0.000   L 
 0:00:15   0.056   0.000   L 
 0:00:16   0.056   0.000   L 
 0:00:17   0.056   0.000   L 
 0:00:18   0.056   0.000   L 
 0:00:19   0.056   0.000   L 
 0:00:20   0.056   0.000   L 
 0:00:21   0.056   0.000   L 
 0:00:22   0.056   0.000   L 
 0:00:23   0.056   0.000   L 
 0:00:24   0.056   0.000   L 
 0:00:25   0.056   0.000   L 
 0:00:26   0.056   0.000   L 
 0:00:27   0.055  -0.001   L 
 0:00:28   0.055   0.000   L 
 0:00:29   0.055   0.000   L 
 0:00:30   0.055   0.000   L 
 0:00:31   0.055   0.000   L 
 0:00:32   0.055   0.000   L 
 0:00:33   0.055   0.000   L 
 0:00:34   0.055   0.000   L 
 0:00:35   0.055   0.000   L 
 0:00:36   0.055   0.000   L 
 0:00:37   0.055   0.000   L 
 0:00:39   0.055   0.000   L 
 0:00:40   0.055   0.000   L 
 0:00:41   0.055   0.000   L 
 0:00:42   0.055   0.000   L 
 0:00:43   0.055   0.000   L 
 0:00:44   0.055   0.000   L 
 0:00:45   0.055   0.000   L 
 0:00:46   0.055   0.000   L 
 0:00:47   0.055   0.000   L 
 0:00:48   0.054  -0.001   L 
 0:00:49   0.054   0.000   L 
 0:00:50   0.054   0.000   L 
 0:00:51   0.054   0.000   L 
 0:00:52   0.054   0.000   L 
 0:00:53   0.054   0.000   L 
 0:00:54   0.054   0.000   L 
 0:00:55   0.054   0.000   L 
 0:00:56   0.054   0.000   L 
 0:00:57   0.054   0.000   L 
 0:00:58   0.054   0.000   L 
 0:00:59   0.054   0.000   L 
 0:01:00   0.054   0.000   L 
 0:01:01   0.054   0.000   L 
 0:01:02   0.054   0.000   L 
 0:01:03   0.054   0.000   L 
 0:01:04   0.054   0.000   L 
 0:01:05   0.054   0.000   L 
 0:01:06   0.054   0.000   L 
 0:01:07   0.054   0.000   L 
 0:01:08   0.054   0.000   L 
 0:01:09   0.054   0.000   L 
 0:01:10   0.053  -0.001   L 
 0:01:11   0.053   0.000   L 
 0:01:12   0.053   0.000   L 
 0:01:13   0.053   0.000   L 
 0:01:14   0.053   0.000   L 
 0:01:15   0.053   0.000   L 
 0:01:16   0.053   0.000   L 
 0:01:17   0.053   0.000   L 
 0:01:18   0.053   0.000   L 
 0:01:19   0.053   0.000   L 
 0:01:20   0.053   0.000   L 
 0:01:21   0.053   0.000   L 
 0:01:22   0.053   0.000   L 
 0:01:23   0.053   0.000   L 
 0:01:24   0.053   0.000   L 
 0:01:25   0.053   0.000   L 
 0:01:27   0.053   0.000   L 
 0:01:28   0.053   0.000   L 
 0:01:29   0.053   0.000   L 
 0:01:30   0.053   0.000   L 

       ID#  Abs/Min    Ergebnis   C
         1   -0.001     -0.001    
