TEST-EINR
BioMate 3S v4.000I 2K6N070003

Kinetik                     1:10 13Aug13
Testbez.                          ------
Messmodus                     Absorption
Wellenlnge                      436.0nm
Ref.-Wellenlg.korrektur              Aus
Delay-Zeit (min:sec)                0:00
Intervallzeit (min:sek)             0:01
Gesamtlaufzeit(hr:min:sec)       0:05:00
Zeige Ergebnis                       Ein
Faktor                             1.000
Einheitn                               C
Linearittswert                    0.005
Probenposition            Einfachhalter-
ID# (0=AUS)                            1
Untere/Obere Grenze           -9999/9999
Auto Speichern                       Aus


HH:MM:SS   Abs    Delta   Lin
--------  ------  ------  ---
 0:00:00   0.103  ------  ---
 0:00:01   0.125   0.022  ---
 0:00:02   0.148   0.023   L 
 0:00:03   0.170   0.022   L 
 0:00:04   0.193   0.023   L 
 0:00:05   0.215   0.022   L 
 0:00:06   0.238   0.023   L 
 0:00:07   0.261   0.023   L 
 0:00:08   0.283   0.022   L 
 0:00:09   0.306   0.023   L 
 0:00:10   0.328   0.022   L 
 0:00:11   0.351   0.023   L 
 0:00:12   0.373   0.022   L 
 0:00:13   0.396   0.023   L 
 0:00:14   0.418   0.022   L 
 0:00:15   0.440   0.022   L 
 0:00:16   0.462   0.022   L 
 0:00:17   0.484   0.022   L 
 0:00:18   0.505   0.021   L 
 0:00:19   0.527   0.022   L 
 0:00:20   0.548   0.021   L 
 0:00:21   0.569   0.021   L 
 0:00:22   0.589   0.020   L 
 0:00:23   0.609   0.020   L 
 0:00:24   0.629   0.020   L 
 0:00:25   0.648   0.019   L 
 0:00:26   0.666   0.018   L 
 0:00:27   0.684   0.018   L 
 0:00:28   0.701   0.017   L 
 0:00:29   0.718   0.017   L 
 0:00:30   0.734   0.016   L 
 0:00:31   0.750   0.016   L 
 0:00:32   0.764   0.014   L 
 0:00:34   0.778   0.014   L 
 0:00:35   0.791   0.013   L 
 0:00:36   0.803   0.012   L 
 0:00:37   0.813   0.010   L 
 0:00:38   0.823   0.010   L 
 0:00:39   0.831   0.008   L 
 0:00:40   0.839   0.008   L 
 0:00:41   0.845   0.006   L 
 0:00:42   0.850   0.005   L 
 0:00:43   0.854   0.004   L 
 0:00:44   0.857   0.003   L 
 0:00:45   0.860   0.003   L 
 0:00:46   0.862   0.002   L 
 0:00:47   0.863   0.001   L 
 0:00:48   0.864   0.001   L 
 0:00:49   0.865   0.001   L 
 0:00:50   0.866   0.001   L 
 0:00:51   0.866   0.000   L 
 0:00:52   0.866   0.000   L 
 0:00:53   0.866   0.000   L 
 0:00:54   0.866   0.000   L 
 0:00:55   0.866   0.000   L 
 0:00:56   0.866   0.000   L 
 0:00:57   0.866   0.000   L 
 0:00:58   0.866   0.000   L 
 0:00:59   0.866   0.000   L 
 0:01:00   0.866   0.000   L 

       ID#  Abs/Min    Ergebnis   C
         1   0.763      0.763     
