TEST-EINR
BioMate 3S v4.000I 2K6N070003

Kinetik                     0:59 13Aug13
Testbez.                          ------
Messmodus                     Absorption
Wellenlnge                      436.0nm
Ref.-Wellenlg.korrektur              Aus
Delay-Zeit (min:sec)                0:00
Intervallzeit (min:sek)             0:01
Gesamtlaufzeit(hr:min:sec)       0:05:00
Zeige Ergebnis                       Ein
Faktor                             1.000
Einheitn                               C
Linearittswert                    0.005
Probenposition            Einfachhalter-
ID# (0=AUS)                            1
Untere/Obere Grenze           -9999/9999
Auto Speichern                       Aus


HH:MM:SS   Abs    Delta   Lin
--------  ------  ------  ---
 0:00:00   0.113  ------  ---
 0:00:01   0.137   0.024  ---
 0:00:02   0.160   0.023   L 
 0:00:03   0.185   0.025   L 
 0:00:04   0.208   0.023   L 
 0:00:05   0.232   0.024   L 
 0:00:06   0.256   0.024   L 
 0:00:07   0.280   0.024   L 
 0:00:08   0.304   0.024   L 
 0:00:10   0.328   0.024   L 
 0:00:11   0.351   0.023   L 
 0:00:12   0.375   0.024   L 
 0:00:13   0.398   0.023   L 
 0:00:14   0.421   0.023   L 
 0:00:15   0.445   0.024   L 
 0:00:16   0.467   0.022   L 
 0:00:17   0.489   0.022   L 
 0:00:18   0.512   0.023   L 
 0:00:19   0.533   0.021   L 
 0:00:20   0.555   0.022   L 
 0:00:21   0.576   0.021   L 
 0:00:22   0.596   0.020   L 
 0:00:23   0.616   0.020   L 
 0:00:24   0.636   0.020   L 
 0:00:25   0.655   0.019   L 
 0:00:26   0.673   0.018   L 
 0:00:27   0.690   0.017   L 
 0:00:28   0.707   0.017   L 
 0:00:29   0.723   0.016   L 
 0:00:30   0.738   0.015   L 
 0:00:31   0.752   0.014   L 
 0:00:32   0.765   0.013   L 
 0:00:33   0.776   0.011   L 
 0:00:34   0.787   0.011   L 
 0:00:35   0.796   0.009   L 
 0:00:36   0.804   0.008   L 
 0:00:37   0.811   0.007   L 
 0:00:38   0.816   0.005   L 
 0:00:39   0.821   0.005   L 
 0:00:40   0.825   0.004   L 
 0:00:41   0.827   0.002   L 
 0:00:42   0.830   0.003   L 
 0:00:43   0.831   0.001   L 
 0:00:44   0.833   0.002   L 
 0:00:45   0.834   0.001   L 
 0:00:46   0.834   0.000   L 
 0:00:47   0.835   0.001   L 
 0:00:48   0.835   0.000   L 
 0:00:49   0.835   0.000   L 
 0:00:50   0.835   0.000   L 
 0:00:51   0.835   0.000   L 
 0:00:52   0.835   0.000   L 
 0:00:53   0.835   0.000   L 
 0:00:54   0.835   0.000   L 
 0:00:55   0.835   0.000   L 
 0:00:56   0.835   0.000   L 
 0:00:58   0.835   0.000   L 
 0:00:59   0.834  -0.001   L 
 0:01:00   0.834   0.000   L 
 0:01:01   0.834   0.000   L 

       ID#  Abs/Min    Ergebnis   C
         1   0.709      0.709     
