TEST-EINR
BioMate 3S v4.000I 2K6N070003

Kinetik                     0:31 13Aug13
Testbez.                          ------
Messmodus                     Absorption
Wellenlnge                      436.0nm
Ref.-Wellenlg.korrektur              Aus
Delay-Zeit (min:sec)                0:00
Intervallzeit (min:sek)             0:01
Gesamtlaufzeit(hr:min:sec)       0:30:00
Zeige Ergebnis                       Ein
Faktor                             1.000
Einheitn                               C
Linearittswert                    0.005
Probenposition            Einfachhalter-
ID# (0=AUS)                            1
Untere/Obere Grenze           -9999/9999
Auto Speichern                       Aus


HH:MM:SS   Abs    Delta   Lin
--------  ------  ------  ---
 0:00:00   0.120  ------  ---
 0:00:01   0.140   0.020  ---
 0:00:02   0.160   0.020   L 
 0:00:03   0.179   0.019   L 
 0:00:04   0.199   0.020   L 
 0:00:05   0.218   0.019   L 
 0:00:06   0.237   0.019   L 
 0:00:07   0.256   0.019   L 
 0:00:08   0.274   0.018   L 
 0:00:09   0.292   0.018   L 
 0:00:10   0.310   0.018   L 
 0:00:11   0.327   0.017   L 
 0:00:12   0.344   0.017   L 
 0:00:13   0.360   0.016   L 
 0:00:14   0.376   0.016   L 
 0:00:15   0.391   0.015   L 
 0:00:16   0.405   0.014   L 
 0:00:17   0.418   0.013   L 
 0:00:18   0.431   0.013   L 
 0:00:19   0.442   0.011   L 
 0:00:20   0.453   0.011   L 
 0:00:21   0.462   0.009   L 
 0:00:22   0.470   0.008   L 
 0:00:23   0.477   0.007   L 
 0:00:25   0.483   0.006   L 
 0:00:26   0.488   0.005   L 
 0:00:27   0.492   0.004   L 
 0:00:28   0.495   0.003   L 
 0:00:29   0.498   0.003   L 
 0:00:30   0.500   0.002   L 
 0:00:31   0.502   0.002   L 
 0:00:32   0.503   0.001   L 
 0:00:33   0.504   0.001   L 
 0:00:34   0.504   0.000   L 
 0:00:35   0.504   0.000   L 
 0:00:36   0.505   0.001   L 
 0:00:37   0.505   0.000   L 
 0:00:38   0.505   0.000   L 
 0:00:39   0.505   0.000   L 
 0:00:40   0.505   0.000   L 
 0:00:41   0.505   0.000   L 
 0:00:42   0.505   0.000   L 
 0:00:43   0.506   0.001   L 
 0:00:44   0.506   0.000   L 
 0:00:45   0.507   0.001   L 
 0:00:46   0.507   0.000   L 
 0:00:47   0.507   0.000   L 
 0:00:48   0.506  -0.001   L 
 0:00:49   0.505  -0.001   L 
 0:00:50   0.504  -0.001   L 
 0:00:51   0.504   0.000   L 
 0:00:52   0.504   0.000   L 

       ID#  Abs/Min    Ergebnis   C
         1   0.443      0.443     
