TEST-EINR
BioMate 3S v4.000I 2K6N070003

Kinetik                     0:54 13Aug13
Testbez.                          ------
Messmodus                     Absorption
Wellenlnge                      436.0nm
Ref.-Wellenlg.korrektur              Aus
Delay-Zeit (min:sec)                0:00
Intervallzeit (min:sek)             0:01
Gesamtlaufzeit(hr:min:sec)       0:05:00
Zeige Ergebnis                       Ein
Faktor                             1.000
Einheitn                               C
Linearittswert                    0.005
Probenposition            Einfachhalter-
ID# (0=AUS)                            1
Untere/Obere Grenze           -9999/9999
Auto Speichern                       Aus


HH:MM:SS   Abs    Delta   Lin
--------  ------  ------  ---
 0:00:00   0.101  ------  ---
 0:00:01   0.124   0.023  ---
 0:00:02   0.146   0.022   L 
 0:00:03   0.168   0.022   L 
 0:00:04   0.190   0.022   L 
 0:00:05   0.212   0.022   L 
 0:00:06   0.233   0.021   L 
 0:00:07   0.255   0.022   L 
 0:00:08   0.277   0.022   L 
 0:00:09   0.298   0.021   L 
 0:00:10   0.319   0.021   L 
 0:00:12   0.341   0.022   L 
 0:00:13   0.362   0.021   L 
 0:00:14   0.383   0.021   L 
 0:00:15   0.403   0.020   L 
 0:00:16   0.424   0.021   L 
 0:00:17   0.445   0.021   L 
 0:00:18   0.465   0.020   L 
 0:00:19   0.484   0.019   L 
 0:00:20   0.504   0.020   L 
 0:00:21   0.524   0.020   L 
 0:00:22   0.543   0.019   L 
 0:00:23   0.560   0.017   L 
 0:00:24   0.578   0.018   L 
 0:00:25   0.594   0.016   L 
 0:00:26   0.610   0.016   L 
 0:00:27   0.625   0.015   L 
 0:00:28   0.639   0.014   L 
 0:00:29   0.652   0.013   L 
 0:00:30   0.664   0.012   L 
 0:00:31   0.675   0.011   L 
 0:00:32   0.685   0.010   L 
 0:00:33   0.694   0.009   L 
 0:00:34   0.702   0.008   L 
 0:00:35   0.709   0.007   L 
 0:00:36   0.715   0.006   L 
 0:00:37   0.719   0.004   L 
 0:00:38   0.723   0.004   L 
 0:00:39   0.725   0.002   L 
 0:00:40   0.727   0.002   L 
 0:00:41   0.728   0.001   L 
 0:00:42   0.729   0.001   L 
 0:00:43   0.730   0.001   L 
 0:00:44   0.730   0.000   L 
 0:00:45   0.731   0.001   L 
 0:00:46   0.731   0.000   L 
 0:00:47   0.731   0.000   L 
 0:00:48   0.731   0.000   L 
 0:00:49   0.731   0.000   L 
 0:00:50   0.731   0.000   L 
 0:00:51   0.731   0.000   L 
 0:00:52   0.731   0.000   L 
 0:00:53   0.731   0.000   L 
 0:00:54   0.731   0.000   L 
 0:00:55   0.731   0.000   L 
 0:00:56   0.731   0.000   L 
 0:00:57   0.731   0.000   L 
 0:00:59   0.731   0.000   L 
 0:01:00   0.731   0.000   L 

       ID#  Abs/Min    Ergebnis   C
         1   0.630      0.630     
