TEST-EINR
BioMate 3S v4.000I 2K6N070003

Kinetik                     1:20 13Aug13
Testbez.                          ------
Messmodus                     Absorption
Wellenlnge                      436.0nm
Ref.-Wellenlg.korrektur              Aus
Delay-Zeit (min:sec)                0:00
Intervallzeit (min:sek)             0:01
Gesamtlaufzeit(hr:min:sec)       0:05:00
Zeige Ergebnis                       Ein
Faktor                             1.000
Einheitn                               C
Linearittswert                    0.005
Probenposition            Einfachhalter-
ID# (0=AUS)                            1
Untere/Obere Grenze           -9999/9999
Auto Speichern                       Aus


HH:MM:SS   Abs    Delta   Lin
--------  ------  ------  ---
 0:00:00   0.068  ------  ---
 0:00:01   0.091   0.023  ---
 0:00:02   0.114   0.023   L 
 0:00:03   0.138   0.024   L 
 0:00:04   0.161   0.023   L 
 0:00:05   0.184   0.023   L 
 0:00:06   0.207   0.023   L 
 0:00:07   0.231   0.024   L 
 0:00:08   0.254   0.023   L 
 0:00:09   0.278   0.024   L 
 0:00:10   0.301   0.023   L 
 0:00:11   0.325   0.024   L 
 0:00:12   0.348   0.023   L 
 0:00:13   0.371   0.023   L 
 0:00:14   0.395   0.024   L 
 0:00:15   0.418   0.023   L 
 0:00:16   0.441   0.023   L 
 0:00:17   0.464   0.023   L 
 0:00:18   0.487   0.023   L 
 0:00:19   0.510   0.023   L 
 0:00:20   0.533   0.023   L 
 0:00:21   0.556   0.023   L 
 0:00:22   0.578   0.022   L 
 0:00:23   0.600   0.022   L 
 0:00:24   0.622   0.022   L 
 0:00:25   0.644   0.022   L 
 0:00:26   0.666   0.022   L 
 0:00:27   0.687   0.021   L 
 0:00:28   0.708   0.021   L 
 0:00:29   0.729   0.021   L 
 0:00:31   0.750   0.021   L 
 0:00:32   0.770   0.020   L 
 0:00:33   0.790   0.020   L 
 0:00:34   0.810   0.020   L 
 0:00:35   0.830   0.020   L 
 0:00:36   0.849   0.019   L 
 0:00:37   0.868   0.019   L 
 0:00:38   0.886   0.018   L 
 0:00:39   0.904   0.018   L 
 0:00:40   0.922   0.018   L 
 0:00:41   0.939   0.017   L 
 0:00:42   0.956   0.017   L 
 0:00:43   0.972   0.016   L 
 0:00:44   0.988   0.016   L 
 0:00:45   1.004   0.016   L 
 0:00:46   1.019   0.015   L 
 0:00:47   1.034   0.015   L 
 0:00:48   1.048   0.014   L 
 0:00:49   1.061   0.013   L 
 0:00:50   1.074   0.013   L 
 0:00:51   1.086   0.012   L 
 0:00:52   1.097   0.011   L 
 0:00:53   1.107   0.010   L 
 0:00:54   1.117   0.010   L 
 0:00:55   1.125   0.008   L 
 0:00:56   1.132   0.007   L 
 0:00:57   1.139   0.007   L 
 0:00:58   1.144   0.005   L 
 0:00:59   1.149   0.005   L 
 0:01:00   1.152   0.003   L 
 0:01:01   1.155   0.003   L 
 0:01:02   1.158   0.003   L 
 0:01:03   1.159   0.001   L 
 0:01:04   1.160   0.001   L 
 0:01:05   1.161   0.001   L 
 0:01:06   1.161   0.000   L 
 0:01:07   1.162   0.001   L 
 0:01:08   1.162   0.000   L 
 0:01:09   1.162   0.000   L 
 0:01:10   1.162   0.000   L 
 0:01:11   1.162   0.000   L 
 0:01:12   1.162   0.000   L 
 0:01:13   1.162   0.000   L 
 0:01:14   1.162   0.000   L 
 0:01:15   1.162   0.000   L 

       ID#  Abs/Min    Ergebnis   C
         1   0.875      0.875     
